CUSTOMER,DATE,CASH_FLOW
CVS,2023-10-02,-227198503.790000000
KROGER,2023-10-02,-44741869.830000000
CVS,2023-10-03,-220872447.050000000
KROGER,2023-10-03,-100997740.490000000
CVS,2023-10-04,-137370208.500000000
KROGER,2023-10-04,-21203064.630000000
OPTUM,2023-10-04,-718542474.430000000
CVS,2023-10-05,-142861050.830000000
KROGER,2023-10-05,-34339511.200000000
OPTUM,2023-10-05,
CVS,2023-10-06,-327018418.780000000
KROGER,2023-10-06,-54550344.540000000
OPTUM,2023-10-06,
TOPCO,2023-10-06,-140266696.100000000
CVS,2023-10-07,
KROGER,2023-10-07,
OPTUM,2023-10-07,
TOPCO,2023-10-07,
CVS,2023-10-08,
KROGER,2023-10-08,
OPTUM,2023-10-08,
TOPCO,2023-10-08,
CVS,2023-10-09,
KROGER,2023-10-09,
OPTUM,2023-10-09,
TOPCO,2023-10-09,
CVS,2023-10-10,-398432704.250000000
KROGER,2023-10-10,-78112318.280000000
OPTUM,2023-10-10,
TOPCO,2023-10-10,-107.270000000
CVS,2023-10-11,-118953043.430000000
KROGER,2023-10-11,-72771921.620000000
OPTUM,2023-10-11,-735903686.780000000
TOPCO,2023-10-11,
CVS,2023-10-12,-134423457.130000000
KROGER,2023-10-12,-53826489.070000000
OPTUM,2023-10-12,
TOPCO,2023-10-12,
CVS,2023-10-13,-307361916.430000000
KROGER,2023-10-13,-38205695.220000000
OPTUM,2023-10-13,
TOPCO,2023-10-13,-152101612.260000000
CVS,2023-10-14,
KROGER,2023-10-14,
OPTUM,2023-10-14,
TOPCO,2023-10-14,
CVS,2023-10-15,
KROGER,2023-10-15,
OPTUM,2023-10-15,
TOPCO,2023-10-15,
CVS,2023-10-16,-181525514.410000000
KROGER,2023-10-16,-65940187.410000000
OPTUM,2023-10-16,
TOPCO,2023-10-16,
CVS,2023-10-17,-197933279.690000000
KROGER,2023-10-17,-82064020.050000000
OPTUM,2023-10-17,
TOPCO,2023-10-17,
CVS,2023-10-18,-133938676.060000000
KROGER,2023-10-18,-70909338.200000000
OPTUM,2023-10-18,-740749246.660000000
TOPCO,2023-10-18,
CVS,2023-10-19,-122338368.180000000
KROGER,2023-10-19,-46186350.470000000
OPTUM,2023-10-19,
TOPCO,2023-10-19,
CVS,2023-10-20,-337880869.790000000
KROGER,2023-10-20,-58938906.940000000
OPTUM,2023-10-20,
TOPCO,2023-10-20,-145831858.300000000
CVS,2023-10-21,
KROGER,2023-10-21,
OPTUM,2023-10-21,
TOPCO,2023-10-21,
CVS,2023-10-22,
KROGER,2023-10-22,
OPTUM,2023-10-22,
TOPCO,2023-10-22,
CVS,2023-10-23,-143992736.120000000
KROGER,2023-10-23,-37112077.730000000
OPTUM,2023-10-23,
TOPCO,2023-10-23,-216240.000000000
CVS,2023-10-24,-245455619.200000000
KROGER,2023-10-24,-105612981.670000000
OPTUM,2023-10-24,
TOPCO,2023-10-24,-47.370000000
CVS,2023-10-25,-127436925.000000000
KROGER,2023-10-25,-73065836.060000000
OPTUM,2023-10-25,-802632684.610000000
TOPCO,2023-10-25,
CVS,2023-10-26,-151148648.010000000
KROGER,2023-10-26,-38338587.220000000
TOPCO,2023-10-26,
CVS,2023-10-27,-369941237.680000000
KROGER,2023-10-27,-22535314.750000000
TOPCO,2023-10-27,-150889199.400000000
CVS,2023-10-28,
KROGER,2023-10-28,
CVS,2023-10-29,
KROGER,2023-10-29,
CVS,2023-10-30,-210066668.090000000
KROGER,2023-10-30,-39081279.530000000
CVS,2023-10-31,-250302793.760000000
KROGER,2023-10-31,-81219009.010000000
